driver,group,archetype,target_hours,online_hours,n_shifts,home_node
175,full-time,day,48.0,47.916666666666664,5,75
176,part-time,day,10.0,10.0,3,18
177,full-time,morning,50.0,50.08333333333333,7,2
178,part-time,day,18.0,18.0,4,8
179,part-time,day,8.0,8.0,1,1
180,part-time,night,16.0,14.083333333333332,3,57
181,full-time,day,50.0,50.0,5,45
182,part-time,morning,17.0,17.0,3,38
183,part-time,morning,11.0,11.0,2,26
184,full-time,day,55.0,54.916666666666664,7,3
185,full-time,day,42.0,41.916666666666664,5,63
186,part-time,night,14.0,7.0,1,5
187,full-time,evening,55.0,54.916666666666664,7,10
188,part-time,evening,14.0,14.0,3,19
189,part-time,morning,19.0,19.0,3,48
190,part-time,night,12.0,12.0,3,11
191,part-time,morning,11.0,11.0,2,29
192,full-time,day,45.0,45.0,5,27
193,part-time,evening,17.0,17.0,3,0
194,full-time,day,46.0,46.0,6,7
195,part-time,day,13.0,13.0,2,39
196,part-time,morning,17.0,17.083333333333332,5,2
197,part-time,day,8.0,8.0,1,56
198,part-time,night,16.0,16.0,4,23
199,full-time,night,49.0,43.75,7,14
